S. No.,Date,Region,Confirmed_Cases,Active_Cases,Cured,Death,Death_Rate,Growth_Rate
1,3/12/2020,India,74,71,3,0,0,0
2,3/13/2020,India,75,71,3,1,1,0
3,3/14/2020,India,84,72,10,2,1,1
4,3/15/2020,India,107,95,10,2,0,23
5,3/16/2020,India,114,99,13,2,0,4
6,3/17/2020,India,137,120,14,3,1,21
7,3/18/2020,India,146,129,14,3,0,9
8,3/19/2020,India,166,148,15,3,0,19
9,3/20/2020,India,195,171,20,4,1,23
10,3/21/2020,India,258,231,23,4,0,60
11,3/22/2020,India,360,329,24,7,3,98
12,3/23/2020,India,433,402,24,7,0,73
13,3/24/2020,India,492,446,37,9,2,44
14,3/25/2020,India,519,469,40,10,1,23
15,3/26/2020,India,649,593,43,13,3,124
16,3/27/2020,India,724,640,67,17,4,47
17,3/28/2020,India,909,810,80,19,2,170
18,3/29/2020,India,979,867,87,25,6,57
19,3/30/2020,India,1071,942,100,29,4,75
20,3/31/2020,India,1397,1238,124,35,6,296
21,4/1/2020,India,1637,1466,133,38,3,228
22,4/2/2020,India,1965,1764,151,50,12,298
23,4/3/2020,India,2301,2088,157,56,6,324
24,4/4/2020,India,2902,2650,184,68,12,562
25,4/5/2020,India,3374,3030,267,77,9,380
26,4/6/2020,India,4067,3666,292,109,32,636
27,4/7/2020,India,4421,3981,326,114,5,315
28,4/8/2020,India,5194,4643,402,149,35,662
29,4/9/2020,India,5734,5095,473,166,17,452
30,4/10/2020,India,6412,5709,504,199,33,614
31,4/11/2020,India,7447,6565,643,239,40,856
32,4/12/2020,India,8356,7367,716,273,34,802
33,4/13/2020,India,9152,7987,857,308,35,620
34,4/14/2020,India,10363,8988,1036,339,31,1001
35,4/15/2020,India,11439,9756,1306,377,38,768
36,4/16/2020,India,12380,10477,1489,414,37,721
37,4/17/2020,India,13387,11201,1749,437,23,724
38,4/18/2020,India,14378,11906,1992,480,43,705
39,4/19/2020,India,15712,12974,2231,507,27,1068
40,4/20/2020,India,17265,14175,2547,543,36,1201
41,4/21/2020,India,18601,14759,3252,590,47,584
42,4/22/2020,India,19984,15474,3870,640,50,715
43,4/23/2020,India,21393,16454,4258,681,41,980
44,4/24/2020,India,23077,17610,4749,718,37,1156
45,4/25/2020,India,24506,18668,5063,775,57,1058
46,4/26/2020,India,26496,19868,5804,824,49,1200
47,4/27/2020,India,27892,20835,6185,872,48,967
48,4/28/2020,India,29435,21632,6869,934,62,797
49,4/29/2020,India,31332,22629,7696,1007,73,997
50,4/30/2020,India,33050,23651,8325,1074,67,1022
51,5/1/2020,India,35043,25007,8889,1147,73,1356
52,5/2/2020,India,37336,26167,9951,1218,71,1160
53,5/3/2020,India,39980,28046,10633,1301,83,1879
54,5/4/2020,India,42533,29453,11707,1373,72,1407
55,5/5/2020,India,46433,32138,12727,1568,195,2685
56,5/6/2020,India,49390,33513,14183,1694,126,1375
57,5/7/2020,India,52951,35901,15267,1783,89,2388
58,5/8/2020,India,56341,37915,16540,1886,103,2014
59,5/9/2020,India,59662,39834,17847,1981,95,1919
60,5/10/2020,India,62939,41472,19358,2109,128,1638
61,5/11/2020,India,67152,44029,20917,2206,97,2557
62,5/12/2020,India,70756,46008,22455,2293,87,1979
63,5/13/2020,India,74281,47480,24386,2415,122,1472
64,5/14/2020,India,78003,49219,26235,2549,134,1739
65,5/15/2020,India,81970,51401,27920,2649,100,2182
66,5/16/2020,India,85940,53035,30153,2752,103,1634
67,5/17/2020,India,90927,53946,34109,2872,120,911
68,5/18/2020,India,96169,56316,36824,3029,157,2370
69,5/19/2020,India,101139,58802,39174,3163,134,2486
70,5/20/2020,India,106750,61149,42298,3303,140,2347
71,5/21/2020,India,112359,63624,45300,3435,132,2475
72,5/22/2020,India,118447,66330,48534,3583,148,2706
73,5/23/2020,India,125101,69597,51784,3720,137,3267
74,5/24/2020,India,131868,73560,54441,3867,147,3963
75,5/25/2020,India,138845,77103,57721,4021,154,3543
76,5/26/2020,India,145380,80722,60491,4167,146,3619
77,5/27/2020,India,151767,83004,64426,4337,170,2282
78,5/28/2020,India,158333,86110,67692,4531,194,3106
79,5/29/2020,India,165799,89987,71106,4706,175,3877
80,5/30/2020,India,173763,86422,82370,4971,265,-3565
81,5/31/2020,India,182143,89995,86984,5164,193,3573
82,6/1/2020,India,190535,93322,91819,5394,230,3327
83,6/2/2020,India,198706,97581,95527,5598,204,4259
84,6/3/2020,India,207615,101497,100303,5815,217,3916
85,6/4/2020,India,216919,106737,104107,6075,260,5240
86,6/5/2020,India,226770,110960,109462,6348,273,4223
87,6/6/2020,India,236657,115942,114073,6642,294,4982
88,6/7/2020,India,246628,120406,119293,6929,287,4464
89,6/8/2020,India,256611,125381,124095,7135,206,4975
90,6/9/2020,India,266598,129917,129215,7466,331,4536
91,6/10/2020,India,276583,133632,135206,7745,279,3715
92,6/11/2020,India,286579,137448,141029,8102,357,3816
93,6/12/2020,India,297535,141842,147195,8498,396,4394
94,6/13/2020,India,308993,145779,154330,8884,386,3937
95,6/14/2020,India,320922,149348,162379,9195,311,3569
96,6/15/2020,India,332424,153106,169798,9520,325,3758
97,6/16/2020,India,343091,153178,180013,9900,380,72
98,6/17/2020,India,354065,155227,186935,11903,2003,2049
99,6/18/2020,India,366946,160384,194325,12237,334,5157
100,6/19/2020,India,380532,163248,204711,12573,336,2864
101,6/20/2020,India,395048,168269,213831,12948,375,5021
102,6/21/2020,India,410461,169451,227756,13254,306,1182
103,6/22/2020,India,425282,174387,237196,13699,445,4936
104,6/23/2020,India,440215,178014,248190,14011,312,3627
105,6/24/2020,India,456183,183022,258685,14476,465,5008
106,6/25/2020,India,473105,186514,271697,14894,418,3492
107,6/26/2020,India,490401,189463,285637,15301,407,2949
108,6/27/2020,India,508953,197387,295881,15685,384,7924
109,6/28/2020,India,528859,203051,309713,16095,410,5664
110,6/29/2020,India,548318,210120,321723,16475,380,7069
111,6/30/2020,India,566840,215125,334822,16893,418,5005
112,7/1/2020,India,585493,220114,347979,17400,507,4989
113,7/2/2020,India,604641,226947,359860,17834,434,6833
114,7/3/2020,India,625544,227439,379892,18213,379,492
115,7/4/2020,India,648315,235433,394227,18655,442,7994
116,7/5/2020,India,673165,244814,409083,19268,613,9381
117,7/6/2020,India,697413,253287,424433,19693,425,8473
118,7/7/2020,India,719665,259557,439948,20160,467,6270
119,7/8/2020,India,742417,264944,456831,20642,482,5387
120,7/9/2020,India,767296,269789,476378,21129,487,4845
121,7/10/2020,India,793802,276685,495513,21604,475,6896
122,7/11/2020,India,820916,283407,515386,22123,519,6722
123,7/12/2020,India,849553,292258,534621,22674,551,8851
124,7/13/2020,India,878254,301609,553471,23174,500,9351
125,7/14/2020,India,906752,311565,571460,23727,553,9956
126,7/15/2020,India,936181,319840,592032,24309,582,8275
127,7/16/2020,India,968876,331146,612815,24915,606,11306
128,7/17/2020,India,1003832,342473,635757,25602,687,11327
129,7/18/2020,India,1038716,358692,653751,26273,671,16219
130,7/19/2020,India,1077618,373379,677423,26816,543,14687
131,7/20/2020,India,1118043,390459,700087,27497,681,17080
132,7/21/2020,India,1155191,402529,724578,28084,587,12070
133,7/22/2020,India,1192915,411133,753050,28732,648,8604
134,7/23/2020,India,1238635,426167,782607,29861,1129,15034
135,7/24/2020,India,1287945,440135,817209,30601,740,13968
136,7/25/2020,India,1336861,456071,849432,31358,757,15936
137,7/26/2020,India,1385522,467882,885577,32063,705,11811
138,7/27/2020,India,1435453,485114,917568,32771,708,17232
139,7/28/2020,India,1483156,496988,952743,33425,654,11874
140,7/29/2020,India,1531669,509447,988029,34193,768,12459
141,7/30/2020,India,1583792,528242,1020582,34968,775,18795
142,7/31/2020,India,1638870,545318,1057805,35747,779,17076
143,8/1/2020,India,1695988,565103,1094374,36511,764,19785
144,8/2/2020,India,1750723,567730,1145629,37364,853,2627
145,8/3/2020,India,1803695,579357,1186203,38135,771,11627
146,8/4/2020,India,1855745,586298,1230509,38938,803,6941
147,8/5/2020,India,1908254,586244,1282215,39795,857,-54
148,8/6/2020,India,1964536,595501,1328336,40699,904,9257
149,8/7/2020,India,2027074,607384,1378105,41585,886,11883
150,8/8/2020,India,2088611,619088,1427005,42518,933,11704
151,8/9/2020,India,2153010,628747,1480884,43379,861,9659
152,8/10/2020,India,2215074,634945,1535743,44386,1007,6198
153,8/11/2020,India,2268675,639929,1583489,45257,871,4984
154,8/12/2020,India,2329638,643948,1639599,46091,834,4019
155,8/13/2020,India,2396637,653622,1695982,47033,942,9674
156,8/14/2020,India,2461190,661595,1751555,48040,1007,7973
157,8/15/2020,India,2526192,668220,1808936,49036,996,6625
158,8/16/2020,India,2589682,677444,1862258,49980,944,9224
159,8/17/2020,India,2647663,676900,1919842,50921,941,-544
160,8/18/2020,India,2702742,673166,1977779,51797,876,-3734
161,8/19/2020,India,2767273,676514,2037870,52889,1092,3348
162,8/20/2020,India,2836925,686395,2096664,53866,977,9881
163,8/21/2020,India,2905823,692028,2158946,54849,983,5633
164,8/22/2020,India,2975701,697330,2222577,55794,945,5302
165,8/23/2020,India,3044940,707668,2280566,56706,912,10338
166,8/24/2020,India,3106348,710771,2338035,57542,836,3103
167,8/25/2020,India,3167323,704348,2404585,58390,848,-6423
168,8/26/2020,India,3234474,707267,2467758,59449,1059,2919
169,8/27/2020,India,3310234,725991,2523771,60472,1023,18724
170,8/28/2020,India,3387500,742023,2583948,61529,1057,16032
171,8/29/2020,India,3463972,752424,2648998,62550,1021,10401
172,8/30/2020,India,3542733,765302,2713933,63498,948,12878
173,8/31/2020,India,3621245,781975,2774801,64469,971,16673
174,9/1/2020,India,3691166,785996,2839882,65288,819,4021
175,9/2/2020,India,3769523,801282,2901908,66333,1045,15286
176,9/3/2020,India,3853406,815538,2970492,67376,1043,14256
177,9/4/2020,India,3936747,831124,3037151,68472,1096,15586
178,9/5/2020,India,4023179,846395,3107223,69561,1089,15271
179,9/6/2020,India,4113811,862320,3180865,70626,1065,15925
180,9/7/2020,India,4204613,882542,3250429,71642,1016,20222
181,9/8/2020,India,4280422,883697,3323950,72775,1133,1155
182,9/9/2020,India,4370128,897394,3398844,73890,1115,13697
183,9/10/2020,India,4465863,919018,3471783,75062,1172,21624
184,9/11/2020,India,4562414,943480,3542663,76271,1209,24462
185,9/12/2020,India,4659984,958316,3624196,77472,1201,14836
186,9/13/2020,India,4754356,973175,3702595,78586,1114,14859
187,9/14/2020,India,4846427,986598,3780107,79722,1136,13423
188,9/15/2020,India,4930236,990061,3859399,80776,1054,3463
189,9/16/2020,India,5020359,995933,3942360,82066,1290,5872
190,9/17/2020,India,5118253,1009976,4025079,83198,1132,14043
191,9/18/2020,India,5214677,1017754,4112551,84372,1174,7778
192,9/19/2020,India,5308014,1013964,4208431,85619,1247,-3790
193,9/20/2020,India,5400619,1010824,4303043,86752,1133,-3140
194,9/21/2020,India,5487580,1003299,4396399,87882,1130,-7525
195,9/22/2020,India,5562663,975861,4497867,88935,1053,-27438
196,9/23/2020,India,5646010,968377,4587613,90020,1085,-7484
197,9/24/2020,India,5732518,966382,4674987,91149,1129,-1995
198,9/25/2020,India,5818570,970116,4756164,92290,1141,3734
199,9/26/2020,India,5903932,960969,4849584,93379,1089,-9147
200,9/27/2020,India,5992532,956402,4941627,94503,1124,-4567
201,9/28/2020,India,6074702,962640,5016520,95542,1039,6238
202,9/29/2020,India,6145291,947576,5101397,96318,776,-15064
203,9/30/2020,India,6225763,940441,5187825,97497,1179,-7135
204,10/1/2020,India,6312584,940705,5273201,98678,1181,264
205,10/2/2020,India,6394068,942217,5352078,99773,1095,1512
206,10/3/2020,India,6473544,944996,5427706,100842,1069,2779
207,10/4/2020,India,6549373,937625,5509966,101782,940,-7371
208,10/5/2020,India,6623815,934427,5586703,102685,903,-3198
209,10/6/2020,India,6685082,919023,5662490,103569,884,-15404
210,10/7/2020,India,6757131,907883,5744693,104555,986,-11140
211,10/8/2020,India,6835655,902425,5827704,105526,971,-5458
212,10/9/2020,India,6906151,893592,5906069,106490,964,-8833
213,10/10/2020,India,6979423,883185,5988822,107416,926,-10407
214,10/11/2020,India,7053806,867496,6077976,108334,918,-15689
215,10/12/2020,India,7120538,861853,6149535,109150,816,-5643
216,10/13/2020,India,7175880,838729,6227295,109856,706,-23124
217,10/14/2020,India,7239389,826876,6301927,110586,730,-11853
218,10/15/2020,India,7307097,812390,6383441,111266,680,-14486
219,10/16/2020,India,7370468,804528,6453779,112161,895,-7862
220,10/17/2020,India,7432680,795087,6524595,112998,837,-9441
221,10/18/2020,India,7494551,783311,6597209,114031,1033,-11776
222,3/27/2020,Andaman and Nicobar Islands,1,1,0,0,0,1
223,3/28/2020,Andaman and Nicobar Islands,6,6,0,0,0,5
224,3/29/2020,Andaman and Nicobar Islands,9,9,0,0,0,3
225,3/30/2020,Andaman and Nicobar Islands,9,9,0,0,0,0
226,3/31/2020,Andaman and Nicobar Islands,10,10,0,0,0,1
227,4/1/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
228,4/2/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
229,4/3/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
230,4/4/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
231,4/5/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
232,4/6/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
233,4/7/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
234,4/8/2020,Andaman and Nicobar Islands,10,10,0,0,0,0
235,4/9/2020,Andaman and Nicobar Islands,11,11,0,0,0,1
236,4/10/2020,Andaman and Nicobar Islands,11,11,0,0,0,0
237,4/11/2020,Andaman and Nicobar Islands,11,11,0,0,0,0
238,4/12/2020,Andaman and Nicobar Islands,11,1,10,0,0,-10
239,4/13/2020,Andaman and Nicobar Islands,11,1,10,0,0,0
240,4/14/2020,Andaman and Nicobar Islands,11,1,10,0,0,0
241,4/15/2020,Andaman and Nicobar Islands,11,1,10,0,0,0
242,4/16/2020,Andaman and Nicobar Islands,11,1,10,0,0,0
243,4/17/2020,Andaman and Nicobar Islands,11,1,10,0,0,0
244,4/18/2020,Andaman and Nicobar Islands,12,1,11,0,0,0
245,4/19/2020,Andaman and Nicobar Islands,14,3,11,0,0,2
246,4/20/2020,Andaman and Nicobar Islands,15,4,11,0,0,1
247,4/21/2020,Andaman and Nicobar Islands,16,5,11,0,0,1
248,4/22/2020,Andaman and Nicobar Islands,16,5,11,0,0,0
249,4/23/2020,Andaman and Nicobar Islands,18,7,11,0,0,2
250,4/24/2020,Andaman and Nicobar Islands,22,11,11,0,0,4
251,4/25/2020,Andaman and Nicobar Islands,27,16,11,0,0,5
252,4/26/2020,Andaman and Nicobar Islands,33,22,11,0,0,6
253,4/27/2020,Andaman and Nicobar Islands,33,22,11,0,0,0
254,4/28/2020,Andaman and Nicobar Islands,33,22,11,0,0,0
255,4/29/2020,Andaman and Nicobar Islands,33,18,15,0,0,-4
256,4/30/2020,Andaman and Nicobar Islands,33,18,15,0,0,0
257,5/1/2020,Andaman and Nicobar Islands,33,17,16,0,0,-1
258,5/2/2020,Andaman and Nicobar Islands,33,17,16,0,0,0
259,5/3/2020,Andaman and Nicobar Islands,33,17,16,0,0,0
260,5/4/2020,Andaman and Nicobar Islands,33,1,32,0,0,-16
261,5/5/2020,Andaman and Nicobar Islands,33,1,32,0,0,0
262,5/6/2020,Andaman and Nicobar Islands,33,1,32,0,0,0
263,5/7/2020,Andaman and Nicobar Islands,33,1,32,0,0,0
264,5/8/2020,Andaman and Nicobar Islands,33,0,33,0,0,-1
265,5/9/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
266,5/10/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
267,5/11/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
268,5/12/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
269,5/13/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
270,5/14/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
271,5/15/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
272,5/16/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
273,5/17/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
274,5/18/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
275,5/19/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
276,5/20/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
277,5/21/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
278,5/22/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
279,5/23/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
280,5/24/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
281,5/25/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
282,5/26/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
283,5/27/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
284,5/28/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
285,5/29/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
286,5/30/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
287,5/31/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
288,6/1/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
289,6/2/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
290,6/3/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
291,6/4/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
292,6/5/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
293,6/6/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
294,6/7/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
295,6/8/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
296,6/9/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
297,6/10/2020,Andaman and Nicobar Islands,33,0,33,0,0,0
298,6/11/2020,Andaman and Nicobar Islands,34,1,33,0,0,1
299,6/12/2020,Andaman and Nicobar Islands,38,5,33,0,0,4
300,6/13/2020,Andaman and Nicobar Islands,38,5,33,0,0,0
301,6/14/2020,Andaman and Nicobar Islands,38,5,33,0,0,0
302,6/15/2020,Andaman and Nicobar Islands,38,5,33,0,0,0
303,6/16/2020,Andaman and Nicobar Islands,41,8,33,0,0,3
304,6/17/2020,Andaman and Nicobar Islands,44,11,33,0,0,3
305,6/18/2020,Andaman and Nicobar Islands,44,11,33,0,0,0
306,6/19/2020,Andaman and Nicobar Islands,44,11,33,0,0,0
307,6/20/2020,Andaman and Nicobar Islands,45,10,35,0,0,-1
308,6/21/2020,Andaman and Nicobar Islands,47,11,36,0,0,1
309,6/22/2020,Andaman and Nicobar Islands,48,11,37,0,0,0
310,6/23/2020,Andaman and Nicobar Islands,48,11,37,0,0,0
311,6/24/2020,Andaman and Nicobar Islands,50,10,40,0,0,-1
312,6/25/2020,Andaman and Nicobar Islands,56,13,43,0,0,3
313,6/26/2020,Andaman and Nicobar Islands,59,16,43,0,0,3
314,6/27/2020,Andaman and Nicobar Islands,72,29,43,0,0,13
315,6/28/2020,Andaman and Nicobar Islands,72,29,43,0,0,0
316,6/29/2020,Andaman and Nicobar Islands,76,31,45,0,0,2
317,6/30/2020,Andaman and Nicobar Islands,90,44,46,0,0,13
318,7/1/2020,Andaman and Nicobar Islands,97,47,50,0,0,3
319,7/2/2020,Andaman and Nicobar Islands,100,50,50,0,0,3
320,7/3/2020,Andaman and Nicobar Islands,109,58,51,0,0,8
321,7/4/2020,Andaman and Nicobar Islands,116,62,54,0,0,4
322,7/5/2020,Andaman and Nicobar Islands,119,53,66,0,0,-9
323,7/6/2020,Andaman and Nicobar Islands,125,53,72,0,0,0
324,7/7/2020,Andaman and Nicobar Islands,141,67,74,0,0,14
325,7/8/2020,Andaman and Nicobar Islands,147,72,75,0,0,5
326,7/9/2020,Andaman and Nicobar Islands,149,72,77,0,0,0
327,7/10/2020,Andaman and Nicobar Islands,151,68,83,0,0,-4
328,7/11/2020,Andaman and Nicobar Islands,156,64,92,0,0,-4
329,7/12/2020,Andaman and Nicobar Islands,163,70,93,0,0,6
330,7/13/2020,Andaman and Nicobar Islands,163,70,93,0,0,0
331,7/14/2020,Andaman and Nicobar Islands,166,57,109,0,0,-13
332,7/15/2020,Andaman and Nicobar Islands,166,57,109,0,0,0
333,7/16/2020,Andaman and Nicobar Islands,176,46,130,0,0,-11
334,7/17/2020,Andaman and Nicobar Islands,180,47,133,0,0,1
335,7/18/2020,Andaman and Nicobar Islands,194,52,142,0,0,5
336,7/19/2020,Andaman and Nicobar Islands,198,53,145,0,0,1
337,7/20/2020,Andaman and Nicobar Islands,203,58,145,0,0,5
338,7/21/2020,Andaman and Nicobar Islands,207,55,152,0,0,-3
339,7/22/2020,Andaman and Nicobar Islands,212,53,159,0,0,-2
340,7/23/2020,Andaman and Nicobar Islands,221,58,163,0,0,5
341,7/24/2020,Andaman and Nicobar Islands,240,70,170,0,0,12
342,7/25/2020,Andaman and Nicobar Islands,259,85,174,0,0,15
343,7/26/2020,Andaman and Nicobar Islands,290,114,176,0,0,29
344,7/27/2020,Andaman and Nicobar Islands,324,142,182,0,0,28
345,7/28/2020,Andaman and Nicobar Islands,338,145,192,1,1,3
346,7/29/2020,Andaman and Nicobar Islands,363,166,196,1,0,21
347,7/30/2020,Andaman and Nicobar Islands,428,225,201,2,1,59
348,7/31/2020,Andaman and Nicobar Islands,471,266,201,4,2,41
349,8/1/2020,Andaman and Nicobar Islands,548,329,214,5,1,63
350,8/2/2020,Andaman and Nicobar Islands,636,403,226,7,2,74
351,8/3/2020,Andaman and Nicobar Islands,734,484,242,8,1,81
352,8/4/2020,Andaman and Nicobar Islands,830,557,263,10,2,73
353,8/5/2020,Andaman and Nicobar Islands,928,639,277,12,2,82
354,8/6/2020,Andaman and Nicobar Islands,1027,687,326,14,2,48
355,8/7/2020,Andaman and Nicobar Islands,1123,752,355,16,2,65
356,8/8/2020,Andaman and Nicobar Islands,1222,778,425,19,3,26
357,8/9/2020,Andaman and Nicobar Islands,1351,831,500,20,1,53
358,8/10/2020,Andaman and Nicobar Islands,1490,822,648,20,0,-9
359,8/11/2020,Andaman and Nicobar Islands,1625,896,709,20,0,74
360,8/12/2020,Andaman and Nicobar Islands,1764,994,749,21,1,98
361,8/13/2020,Andaman and Nicobar Islands,1900,1050,829,21,0,56
362,8/14/2020,Andaman and Nicobar Islands,2037,1091,924,22,1,41
363,8/15/2020,Andaman and Nicobar Islands,2186,1130,1032,24,2,39
364,8/16/2020,Andaman and Nicobar Islands,2306,1154,1128,24,0,24
365,8/17/2020,Andaman and Nicobar Islands,2399,1145,1226,28,4,-9
366,8/18/2020,Andaman and Nicobar Islands,2445,1091,1325,29,1,-54
367,8/19/2020,Andaman and Nicobar Islands,2529,1078,1421,30,1,-13
368,8/20/2020,Andaman and Nicobar Islands,2604,1045,1529,30,0,-33
369,8/21/2020,Andaman and Nicobar Islands,2680,1011,1638,31,1,-34
370,8/22/2020,Andaman and Nicobar Islands,2747,971,1744,32,1,-40
371,8/23/2020,Andaman and Nicobar Islands,2808,923,1853,32,0,-48
372,8/24/2020,Andaman and Nicobar Islands,2860,864,1963,33,1,-59
373,8/25/2020,Andaman and Nicobar Islands,2904,777,2092,35,2,-87
374,8/26/2020,Andaman and Nicobar Islands,2945,677,2231,37,2,-100
375,8/27/2020,Andaman and Nicobar Islands,2985,635,2309,41,4,-42
376,8/28/2020,Andaman and Nicobar Islands,3018,602,2374,42,1,-33
377,8/29/2020,Andaman and Nicobar Islands,3050,564,2444,42,0,-38
378,8/30/2020,Andaman and Nicobar Islands,3081,518,2519,44,2,-46
379,8/31/2020,Andaman and Nicobar Islands,3104,473,2586,45,1,-45
380,9/1/2020,Andaman and Nicobar Islands,3132,439,2647,46,1,-34
381,9/2/2020,Andaman and Nicobar Islands,3160,400,2714,46,0,-39
382,9/3/2020,Andaman and Nicobar Islands,3186,381,2758,47,1,-19
383,9/4/2020,Andaman and Nicobar Islands,3223,352,2823,48,1,-29
384,9/5/2020,Andaman and Nicobar Islands,3257,345,2863,49,1,-7
385,9/6/2020,Andaman and Nicobar Islands,3292,338,2904,50,1,-7
386,9/7/2020,Andaman and Nicobar Islands,3332,331,2951,50,0,-7
387,9/8/2020,Andaman and Nicobar Islands,3359,312,2997,50,0,-19
388,9/9/2020,Andaman and Nicobar Islands,3392,307,3035,50,0,-5
389,9/10/2020,Andaman and Nicobar Islands,3426,297,3078,51,1,-10
390,9/11/2020,Andaman and Nicobar Islands,3465,293,3121,51,0,-4
391,9/12/2020,Andaman and Nicobar Islands,3494,286,3157,51,0,-7
392,9/13/2020,Andaman and Nicobar Islands,3521,268,3202,51,0,-18
393,9/14/2020,Andaman and Nicobar Islands,3546,252,3243,51,0,-16
394,9/15/2020,Andaman and Nicobar Islands,3557,227,3278,52,1,-25
395,9/16/2020,Andaman and Nicobar Islands,3574,204,3318,52,0,-23
396,9/17/2020,Andaman and Nicobar Islands,3593,196,3345,52,0,-8
397,9/18/2020,Andaman and Nicobar Islands,3604,174,3378,52,0,-22
398,9/19/2020,Andaman and Nicobar Islands,3631,165,3414,52,0,-9
399,9/20/2020,Andaman and Nicobar Islands,3644,156,3436,52,0,-9
400,9/21/2020,Andaman and Nicobar Islands,3651,147,3452,52,0,-9
401,9/22/2020,Andaman and Nicobar Islands,3673,152,3469,52,0,5
402,9/23/2020,Andaman and Nicobar Islands,3691,160,3479,52,0,8
403,9/24/2020,Andaman and Nicobar Islands,3712,166,3494,52,0,6
404,9/25/2020,Andaman and Nicobar Islands,3744,189,3503,52,0,23
405,9/26/2020,Andaman and Nicobar Islands,3759,179,3528,52,0,-10
406,9/27/2020,Andaman and Nicobar Islands,3774,171,3551,52,0,-8
407,9/28/2020,Andaman and Nicobar Islands,3794,188,3553,53,1,17
408,9/29/2020,Andaman and Nicobar Islands,3803,168,3582,53,0,-20
409,9/30/2020,Andaman and Nicobar Islands,3821,181,3587,53,0,13
410,10/1/2020,Andaman and Nicobar Islands,3835,174,3608,53,0,-7
411,10/2/2020,Andaman and Nicobar Islands,3848,172,3623,53,0,-2
412,10/3/2020,Andaman and Nicobar Islands,3858,174,3631,53,0,2
413,10/4/2020,Andaman and Nicobar Islands,3868,173,3642,53,0,-1
414,10/5/2020,Andaman and Nicobar Islands,3884,182,3649,53,0,9
415,10/6/2020,Andaman and Nicobar Islands,3899,186,3659,54,1,4
416,10/7/2020,Andaman and Nicobar Islands,3912,180,3678,54,0,-6
417,10/8/2020,Andaman and Nicobar Islands,3935,185,3696,54,0,5
418,10/9/2020,Andaman and Nicobar Islands,3952,190,3707,55,1,5
419,10/10/2020,Andaman and Nicobar Islands,3976,197,3724,55,0,7
420,10/11/2020,Andaman and Nicobar Islands,3992,193,3744,55,0,-4
421,10/12/2020,Andaman and Nicobar Islands,4005,186,3764,55,0,-7
422,10/13/2020,Andaman and Nicobar Islands,4023,198,3770,55,0,12
423,10/14/2020,Andaman and Nicobar Islands,4036,199,3782,55,0,1
424,10/15/2020,Andaman and Nicobar Islands,4046,195,3796,55,0,-4
425,10/16/2020,Andaman and Nicobar Islands,4062,190,3817,55,0,-5
426,10/17/2020,Andaman and Nicobar Islands,4072,185,3831,56,1,-5
427,10/18/2020,Andaman and Nicobar Islands,4083,179,3848,56,0,-6
428,3/12/2020,Andhra Pradesh,1,1,0,0,0,1
429,3/13/2020,Andhra Pradesh,1,1,0,0,0,0
430,3/14/2020,Andhra Pradesh,1,1,0,0,0,0
431,3/15/2020,Andhra Pradesh,1,1,0,0,0,0
432,3/16/2020,Andhra Pradesh,1,1,0,0,0,0
433,3/17/2020,Andhra Pradesh,1,1,0,0,0,0
434,3/18/2020,Andhra Pradesh,1,1,0,0,0,0
435,3/19/2020,Andhra Pradesh,1,1,0,0,0,0
